马鞍山	maanshan	安徽	b118.504657,31.696788	340500	皖E	0555
眉山	meishan	四川	b103.848462,30.076015	511400	川Z	028
绵阳	mianyang	四川	b104.679114,31.46745	510700	川B	0816
牡丹江	mudanjiang	黑龙江	b129.633169,44.551653	231000	黑C	0453
南昌	nc	江西	b115.858089,28.68316	360100	赣A	0791
南充	nanchong	四川	b106.110595,30.837888	511300	川R	0817
南京	nj	江苏	b118.796877,32.060255	320100	苏A	025
南宁	nn	广西	b108.365631,22.817642	450100	桂A	0771
南通	nantong	江苏	b120.894324,31.979997	320600	苏F	0513
南阳	nanyang	河南	b112.528345,32.990615	411300	豫R	0377
内江	neijiang	四川	b105.058352,29.580237	511000	川K	0832
宁波	nb	浙江	b121.54399,29.868336	330200	浙B	0574
平顶山	pingdingshan	河南	b113.192814,33.76619	410400	豫D	0375
莆田	putian	福建	b119.007715,25.454098	350300	闽B	0594
青岛	qd	山东	b120.382504,36.06722	370200	鲁B	0532
秦皇岛	qinhuangdao	河北	b119.600492,39.935377	130300	冀C	0335
齐齐哈尔	qiqihaer	黑龙江	b123.918186,47.354348	230200	黑B	0452
泉州	quanzhou	福建	b118.586812,24.907574	350500	闽C	0595
曲靖	qujing	云南	b103.796167,25.49001	530300	云D	0874
衢州	quzhou	浙江	b118.874375,28.93581	330800	浙H	0570
日照	rizhao	山东	b119.526888,35.416377	371100	鲁L	0633
上海	sh	上海	b121.473704,31.230393	310000	沪A~R	021
商丘	shangqiu	河南	b115.656394,34.414183	411400	豫N	0370
汕头	shantou	广东	b116.681943,23.353362	440500	粤D	0754
绍兴	shaoxing	浙江	b120.586109,29.995762	330600	浙D	0575
邵阳	shaoyang	湖南	b111.468236,27.239973	430500	湘E	0739
沈阳	sy	辽宁	b123.43147,41.80572	210100	辽A	024
深圳	sz	广东	b114.057868,22.543099	440300	粤B	0755
石家庄	sjz	河北	b114.51486,38.042307	130100	冀A	0311
十堰	shiyan	湖北	b110.788811,32.65059	420300	鄂C	0719
松原	songyuan	吉林	b124.825118,45.141789	220700	吉J	0438
遂宁	suining	四川	b105.592898,30.532847	510900	川J	0825
宿迁	suqian	江苏	b118.275497,33.961994	321300	苏N	0527
苏州	su	江苏	b120.585316,31.298886	320500	苏E	0512
宿州	ahsuzhou	安徽	b116.985301,33.639394	341300	皖L	0557
泰安	taian	山东	b117.087614,36.200252	370900	鲁J	0538
太原	ty	山西	b112.550619,37.870662	140100	晋A	0351
台州	zjtaizhou	浙江	b121.420757,28.656386	331000	浙J	0576
泰州	jstaizhou	江苏	b119.923116,32.455778	321200	苏M	0523
唐山	tangshan	河北	b118.180407,39.630476	130200	冀B	0315
天津	tj	天津	b117.200983,39.084158	120000	津A~Q	022
铜陵	tongling	安徽	b117.810841,30.94453	340700	皖G	0562
潍坊	weifang	山东	b119.16193,36.706691	370700	鲁G	0536
威海	wei	山东	b122.12042,37.513068	371000	鲁K	0631
温州	wenzhou	浙江	b120.699367,27.994267	330300	浙C	0577
武汉	wh	湖北	b114.305357,30.593087	420100	鄂A	027
芜湖	wuhu	安徽	b118.385156,31.33879	340200	皖B	0553
乌鲁木齐	xj	新疆	b87.617298,43.825666	650100	新A	0991
无锡	wx	江苏	b120.303027,31.566145	320200	苏B	0510
厦门	xm	福建	b118.08942,24.479836	350200	闽D	0592
西安	xa	陕西	b108.944269,34.264987	610100	陕A	029
湘潭	xiangtan	湖南	b112.944049,27.829738	430300	湘C	0731
襄阳	xiangyang	湖北	b112.25009284837,32.229168591538	420600	鄂F	0710
孝感	xiaogan	湖北	b113.916903,30.924568	420900	鄂K	0712
邢台	xingtai	河北	b114.504874,37.070589	130500	冀E	0319
新乡	xinxiang	河南	b113.9268,35.303004	410700	豫G	0373
信阳	xinyang	河南	b114.068871,32.123233	411500	豫S	0376
许昌	xuchang	河南	b113.852461,34.035825	411000	豫K	0374
徐州	xuzhou	江苏	b117.284067,34.20475	320300	苏C	0516
盐城	yancheng	江苏	b120.163561,33.347378	320900	苏J	0515
扬州	yangzhou	江苏	b119.412966,32.39421	321000	苏K	0514
烟台	yantai	山东	b121.447926,37.463819	370600	鲁F	0535
宜宾	yibin	四川	b104.643373,28.751878	511500	川Q	0831
宜昌	yichang	湖北	b111.286471,30.691967	420500	鄂E	0717
宜春	jxyichun	江西	b114.395108,27.796561	360900	赣C	0795
银川	yc	宁夏	b106.226499448,38.4867237337	640100	宁A	0951
营口	yingkou	辽宁	b122.234996,40.667061	210800	辽H	0417
益阳	yiyang	湖南	b112.355582,28.553883	430900	湘H	0737
岳阳	yueyang	湖南	b113.128959,29.357104	430600	湘F	0730
运城	yuncheng	山西	b111.007324,35.026372	140800	晋M	0359
枣庄	zaozhuang	山东	b117.323725,34.810488	370400	鲁D	0632
漳州	zhangzhou	福建	b117.647363,24.513321	350600	闽E	0596
湛江	zhanjiang	广东	b110.359255,21.270764	440800	粤G	0759
肇庆	zhaoqing	广东	b112.465091,23.047192	441200	粤H	0758
郑州	zz	河南	b113.624899,34.746985	410100	豫A	0371
镇江	zhenjiang	江苏	b119.45722,32.199147	321100	苏L	0511
中山	zhongshan	广东	b113.392795,22.516686	442000	粤T	0760
珠海	zhuhai	广东	b113.576726,22.270715	440400	粤C	0756
驻马店	zhumadian	河南	b114.022298,33.011529	411700	豫Q	0396
株洲	zhuzhou	湖南	b113.133775,27.827827	430200	湘B	0731
淄博	zibo	山东	b118.055007,36.813497	370300	鲁C	0533
自贡	zigong	四川	b104.778442,29.33903	510300	川C	0813
资阳	ziyang	四川	b104.629038,30.129184	512000	川M	028
遵义	zunyi	贵州	b106.927389,27.725654	520300	贵C	0852
